id,title,domain,status,claim,evidence,risks,next_test,links
TFUGA-ROOT-001,TFUGA as generative compression engine,math-ai,ACTIVE,"TFUGA is best treated as an engine that transforms intuition into formal objects, equations, proofs, algorithms, simulations, prototypes, and canon cells.","README plus master canon scaffold","Over-unification before factorization","Create minimal axioms and one formal toy theorem","docs/00_MASTER_CANON_TFUGA_AI7_AIT.md"
OAK-001,OAK status discipline,governance,FORMALIZED,"Every module must carry a verification status separating idea, active conjecture, simulation, measurement, certified math, certified computation, certified physics, refuted, and archived.","schemas/OAK_SCHEMA.yaml","Status inflation or accidental certification","Run all docs through claim extraction and status tagging","schemas/OAK_SCHEMA.yaml"
FFWT-001,FFWT-ND as multi-scale representation,math,ACTIVE,"Fractal and wavelet transforms can serve as the multi-scale representation layer for fields, signals, circuits, images, graphs, and simulations.","Conceptual framework in canon","May become too broad without a minimal example","Implement one 1D signal example and one 2D image example","docs/00_MASTER_CANON_TFUGA_AI7_AIT.md"
HGFM-001,HGFMnD as hypergraph representation,math-ai,ACTIVE,"HGFM represents theories, modules, agents, equations, tests, prototypes, risks, and links as weighted hypergraphs with OAK statuses.","README names HGFM and canon scaffold","Graph complexity and vague nodes","Create minimal HGFM JSON schema and toy graph","schemas/OAK_SCHEMA.yaml"
CVCD-001,CVCD compressed virtual computation,computation,ACTIVE,"Compressed signatures should reject or stabilize candidates before expensive decompression whenever possible.","Architecture statement","May become heuristic without benchmark","Test on AIT-Primes and SAGE-GAMES toy examples","docs/00_MASTER_CANON_TFUGA_AI7_AIT.md"
TDLE-001,Trace-Det LogExp compression,math,ACTIVE,"Iterated log/exp and trace-det identities can compress explosive costs and spectral volumes while preserving controlled decompression paths.","Canonical equations in theory memory","Domain restrictions must be explicit","Write proof cell for E_n(L_n(x)) = x on valid domains","docs/00_MASTER_CANON_TFUGA_AI7_AIT.md"
AIT-PRIMES-001,AIT-Primes benchmark,computation,ACTIVE,"Prime algorithms provide a clean reproducible benchmark for correctness, performance, memory, and verification discipline.","Module concept","Performance claims without benchmark","Implement prime(n), pi(x), tests, and benchmark report","claims/claims_registry.csv"
GAIA-SAT-001,GAIA-SAT climate impact simulator,climate,SIMULATED,"GAIA-SAT should report simulated climate impact value, not guaranteed revenue or investment value.","Prior simulated-impact framing","Financial overclaiming risk","Create assumptions table and scenario sensitivity notebook","docs/00_MASTER_CANON_TFUGA_AI7_AIT.md"
ARK-001,Ark-Reactor de Tristan,energy,ACTIVE,"Ark-Reactor is a modular low-power energy management, storage, routing, thermal safety, and AI control architecture, not a magical energy source.","Conceptual architecture","Physics overclaiming and safety risk","Design low-power DC microgrid simulator and safety checklist","docs/00_MASTER_CANON_TFUGA_AI7_AIT.md"
LC-001,Fractal LC circuits,circuits,ACTIVE,"Fractal LC networks can be studied as multi-scale resonant systems with measurable impedance, resonance, Q factor, losses, and geometry constraints.","Project concept","Unmeasured performance claims","Build SPICE/Python toy model and compare to standard LC network","docs/00_MASTER_CANON_TFUGA_AI7_AIT.md"
